timestamp,request_count,rps,prediction,probability,status
2025-02-24T14:14:51.018961,1,0,Insufficient data,0.00,Insufficient data
2025-02-24T14:14:53.098749,1,0,Insufficient data,0.00,Insufficient data
2025-02-24T14:14:55.158113,1,0,Insufficient data,0.00,Insufficient data
2025-02-24T14:14:57.215745,1,0,Insufficient data,0.00,Insufficient data
2025-02-24T14:14:59.279190,1,0,Insufficient data,0.00,Insufficient data
2025-02-24T14:15:01.350353,1,0,Insufficient data,0.00,Insufficient data
2025-02-24T14:15:03.401888,1,0,Insufficient data,0.00,Insufficient data
2025-02-24T14:15:05.454990,1,0,Insufficient data,0.00,Insufficient data
2025-02-24T14:15:07.508760,1,0,Insufficient data,0.00,Insufficient data
2025-02-24T14:15:11.172850,0,0,Normal Traffic,0.03,Normal Traffic
2025-02-24T14:15:13.427914,1,0,Normal Traffic,0.08,Normal Traffic
2025-02-24T14:15:15.694886,0,1,Normal Traffic,0.03,Normal Traffic
2025-02-24T14:15:17.948157,1,0,Normal Traffic,0.00,Normal Traffic
2025-02-24T14:15:20.237191,0,1,Normal Traffic,0.00,Normal Traffic
2025-02-24T14:15:22.535573,1,0,Normal Traffic,0.00,Normal Traffic
2025-02-24T14:15:24.819020,0,1,Normal Traffic,0.00,Normal Traffic
2025-02-24T14:15:27.149151,0,1,Normal Traffic,0.02,Normal Traffic
2025-02-24T14:15:29.398006,1,0,Normal Traffic,0.02,Normal Traffic
2025-02-24T14:15:31.662373,0,1,Normal Traffic,0.01,Normal Traffic
2025-02-24T14:15:34.921360,1,0,Normal Traffic,0.00,Normal Traffic
2025-02-24T14:15:37.194358,0,1,Normal Traffic,0.05,Normal Traffic
2025-02-24T14:15:39.474078,1,0,Normal Traffic,0.36,Normal Traffic
2025-02-24T14:15:41.740318,0,1,DDoS Attack,0.72,DDoS Attack Detected
2025-02-24T14:15:44.010442,1,0,DDoS Attack,0.93,DDoS Attack Detected
2025-02-24T14:15:46.263242,0,1,DDoS Attack,0.93,DDoS Attack Detected
2025-02-24T14:15:48.526219,1,0,DDoS Attack,0.98,DDoS Attack Detected
2025-02-24T14:15:50.786055,0,1,DDoS Attack,0.69,DDoS Attack Detected
2025-02-24T14:15:53.052069,1,0,DDoS Attack,0.94,DDoS Attack Detected
2025-02-24T14:15:55.331600,0,1,DDoS Attack,0.98,DDoS Attack Detected
2025-02-24T14:15:57.587351,1,0,DDoS Attack,0.63,DDoS Attack Detected
2025-02-24T14:15:59.851266,0,1,DDoS Attack,0.90,DDoS Attack Detected
2025-02-24T14:16:02.117915,1,0,DDoS Attack,0.93,DDoS Attack Detected
2025-02-24T14:16:04.387535,0,1,Normal Traffic,0.29,Normal Traffic
2025-02-24T14:16:06.674019,1,0,Normal Traffic,0.02,Normal Traffic
2025-02-24T14:16:08.924468,0,1,Normal Traffic,0.07,Normal Traffic
2025-02-24T14:16:11.258618,0,1,Normal Traffic,0.01,Normal Traffic
2025-02-24T14:16:13.529353,1,0,Normal Traffic,0.01,Normal Traffic
2025-02-24T14:16:15.800947,0,1,Normal Traffic,0.01,Normal Traffic
2025-02-24T14:16:18.110946,1,0,Normal Traffic,0.03,Normal Traffic
2025-02-24T14:16:20.418177,0,1,Normal Traffic,0.01,Normal Traffic
2025-02-24T14:16:22.863698,0,1,Normal Traffic,0.05,Normal Traffic
2025-02-24T14:16:25.116730,1,0,Normal Traffic,0.03,Normal Traffic
